K06039	CAG0001 CAG0014 
K02010	CAG0001 CAG0002 CAG0003 CAG0004 CAG0006 CAG0014 CAG0015 CAG0022 CAG0025 CAG0037 CAG0050 
K18889	CAG0001 CAG0003 CAG0006 CAG0010 CAG0011 CAG0018 CAG0019 CAG0020 CAG0023 CAG0037 CAG0038 CAG0041 CAG0044 CAG0048 CAG0049 CAG0083 CAG0102 
K01772	CAG0001 CAG0002 CAG0003 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0010 CAG0011 CAG0012 CAG0013 CAG0015 CAG0016 CAG0017 CAG0018 CAG0019 CAG0020 CAG0021 CAG0022 CAG0023 CAG0024 CAG0025 CAG0026 CAG0027 CAG0028 CAG0029 CAG0032 CAG0034 CAG0035 CAG0036 CAG0038 CAG0040 CAG0045 CAG0048 CAG0049 CAG0050 CAG0051 CAG0053 CAG0055 CAG0056 CAG0057 CAG0058 CAG0059 CAG0061 CAG0062 CAG0063 CAG0064 CAG0065 CAG0067 CAG0068 CAG0069 CAG0071 CAG0073 CAG0075 CAG0076 CAG0079 CAG0080 CAG0083 CAG0089 CAG0090 CAG0091 CAG0093 CAG0095 CAG0103 
K07287	CAG0001 CAG0002 CAG0007 CAG0015 CAG0017 CAG0021 CAG0025 CAG0030 CAG0033 CAG0038 CAG0062 CAG0063 CAG0064 CAG0068 CAG0081 CAG0084 
K07773	CAG0001 CAG0025 CAG0038 
K03471	CAG0001 CAG0010 CAG0018 CAG0049 CAG0053 CAG0071 CAG0078 CAG0099 
K21494	CAG0001 
K09999	CAG0001 
K01790	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0011 CAG0014 CAG0015 CAG0016 CAG0017 CAG0019 CAG0020 CAG0021 CAG0022 CAG0029 CAG0031 CAG0032 CAG0040 CAG0043 CAG0055 CAG0094 
