,age,predict_age
337,34,30.396930694580078
338,28,20.391693115234375
339,33,19.741195678710938
340,34,20.595537185668945
341,37,18.305519104003906
342,33,20.463966369628906
343,32,21.285741806030273
344,32,22.34394073486328
345,28,20.56012725830078
346,37,17.86682891845703
347,24,29.291702270507812
348,31,19.693603515625
349,23,18.678741455078125
350,24,22.931238174438477
351,31,21.849563598632812
352,29,27.863903045654297
353,33,21.004802703857422
354,32,21.582443237304688
355,35,19.799087524414062
356,33,18.215259552001953
357,33,24.048681259155273
358,36,17.023723602294922
359,28,23.735498428344727
360,27,20.469118118286133
361,30,18.260835647583008
362,22,18.257965087890625
363,20,17.53034210205078
364,24,19.555131912231445
365,37,18.9800968170166
366,31,30.252979278564453
367,30,23.438743591308594
368,22,21.697490692138672
369,45,25.144939422607422
370,24,16.349021911621094
371,43,20.081851959228516
372,25,19.29724884033203
373,19,15.150871276855469
374,32,23.80147933959961
375,25,18.043853759765625
376,21,17.8898983001709
377,25,22.10373306274414
378,28,18.663677215576172
379,25,17.209922790527344
380,22,24.837913513183594
381,36,21.69552230834961
382,32,17.42218780517578
383,23,19.41363525390625
384,40,19.541759490966797
385,43,21.93288803100586
386,44,24.382081985473633
387,24,19.003448486328125
388,23,18.122055053710938
389,42,22.317590713500977
390,52,27.86028289794922
391,26,17.72582244873047
392,25,17.532737731933594
393,28,20.05299949645996
394,25,16.722084045410156
395,23,23.137907028198242
396,25,17.407337188720703
397,22,17.785255432128906
398,22,17.051841735839844
399,30,19.921964645385742
400,21,17.8291072845459
401,21,16.37869644165039
402,19,56.69451141357422
403,20,17.384883880615234
404,19,18.336322784423828
405,20,19.76834487915039
406,31,17.332069396972656
407,27,24.35907554626465
408,31,24.51253890991211
409,36,21.69449806213379
410,26,15.734517097473145
411,27,20.87456703186035
412,25,16.033388137817383
413,29,19.958227157592773
414,26,29.22446060180664
415,30,23.773542404174805
416,22,17.603816986083984
417,31,26.583436965942383
418,26,20.389240264892578
419,21,24.017324447631836
420,30,21.442638397216797
421,20,23.820810317993164
422,33,22.299243927001953
423,39,25.545228958129883
424,24,18.217239379882812
425,23,18.17203140258789
426,23,18.982656478881836
427,28,21.551538467407227
428,23,20.742046356201172
429,22,16.78402328491211
430,25,20.949668884277344
431,21,17.508878707885742
432,59,39.360626220703125
433,22,22.677961349487305
434,59,44.05376434326172
435,24,18.847412109375
436,24,20.20577621459961
437,63,29.617706298828125
438,49,42.14287567138672
